DATE,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal
23/02/2020,8:15,,AH,6040,,JK,,W09,,,T1
23/02/2020,8:45,,DTH,1903,,CB,,W12,,,T1
23/02/2020,9:55,,DTH,1803,,CA,,W08,,,T1
23/02/2020,10:05,,DTH,2111,,CF,,W10A,,,T1
23/02/2020,13:50,,DTH,2220,,CF,,W10A,,,T1
23/02/2020,14:25,,DTH,2110,,CC,,W12,,,T1
23/02/2020,14:45,,DTH,1321,,CB,,W10C,,,T1
23/02/2020,17:10,,AH,6006,,JU,,W11A,,,T1
23/02/2020,17:20,,AH,6026,,KB,,W09,,,T1
23/02/2020,17:55,,AH,6041,,JK,,W08,,,T1
24/02/2020,19:50,,AH,6106,,JP,,W12,,,T1
24/02/2020,21:00,,AH,6009,,JU,,W10A,,,T1
24/02/2020,22:15,,AH,6232,,KA,,W11A,,,T1
24/02/2020,6:00,,AH,6212,,JM,,W09,,,T1
24/02/2020,6:05,,AH,6304,,JU,,W10A,,,T1
24/02/2020,7:10,,AH,6250,,JG,,W11A,,,T1
23/02/2020,8:05,,DTH,3012,,CT,,W29C,,,T4
23/02/2020,8:16,,TO,4680,,HK,,W19,,,T4
23/02/2020,8:40,,VLG,7475,,KJD,,W15,,,T4
23/02/2020,9:25,,AF,1554,,XL,,W14,,,T4
23/02/2020,11:10,,AZ,500,,NB,,W13,,,T4
23/02/2020,12:10,,AF,9454,,MD,,W14,,,T4
23/02/2020,12:36,,BA,2546,,TU,,W15,,,T4
23/02/2020,13:55,,AF,1854,,HN,,W14,,,T4
23/02/2020,17:40,,AF,1654,,PC,,W15,,,T4
24/02/2020,19:36,,VLG,7991,,MQU,,W14,,,T4
24/02/2020,20:40,,JAF,3401,,AS,,W19,,,T4
24/02/2020,22:50,,VCG,7474,,NAF,,W15,,,T4
24/02/2020,23:20,,AF,1354,,XT,,W14,,,T4
24/02/2020,0:12,,AZ,802,,OO,,W13,,,T4
24/02/2020,4:35,,AZ,803,,DD,,W13,,,T4
24/02/2020,4:38,,AF,1355,,XT,,W14,,,T4
24/02/2020,7:30,,VLG,7476,,KDX,,W14,,,T4
24/02/2020,7:35,,VLG,7396,,MJC,,W15,,,T4
23/02/2020,8:05,,AH,1022,,JQ,,W23A,,,T4
23/02/2020,8:20,,AH,1010,,KJ,,W22A,,,T4
23/02/2020,8:05,,AH,1070,,JP,,W16,,,T4
23/02/2020,8:10,,AH,2070,,KC,,W17,,,T4
23/02/2020,8:20,,AH,1036,,KA,,W18,,,T4
23/02/2020,8:20,,AH,4012,,JU,,W24B,,,T4
23/02/2020,8:30,,AH,2054,,KG,,W25,,,T4
23/02/2020,8:55,,AH,1025,,KO,,W22C,,,T4
23/02/2020,9:15,,AH,2026,,JR,,W23C,,,T4
23/02/2020,9:33,,AH,3016,,JU,,W21,,,T4
23/02/2020,9:53,,AH,1009,,KR,,W16,,,T4
23/02/2020,10:20,,AH,1004,,JB,,W24B,,,T4
23/02/2020,10:30,,AH,1044,,JU,,W23A,,,T4
23/02/2020,10:40,,AH,2013,,KT,,W13,,,T4
23/02/2020,11:20,,AH,1214,,JA,,W21,,,T4
23/02/2020,11:40,,AH,1231,,JL,,W22A,,,T4
23/02/2020,13:13,,AH,1023,,JQ,,W18,,,T4
23/02/2020,13:57,,AH,2007,,KLT,,W19,,,T4
23/02/2020,13:55,,AH,1003,,JC,,W20B,,,T4
23/02/2020,14:15,,AH,1037,,KA,,W24A,,,T4
23/02/2020,14:55,,AH,4013,,JY,,W25B,,,T4
23/02/2020,15:05,,AH,2087,,JK,,W17,,,T4
23/02/2020,15:35,,AH,1011,,KJ,,W23C,,,T4
23/02/2020,15:48,,AH,2005,,JL,,W15,,,T4
23/02/2020,16:10,,AH,1214,,JM,,W23A,,,T4
23/02/2020,16:30,,AH,1008,,KO,,W14,,,T4
23/02/2020,14:30,,AH,1012,,KR,,W16,,,T4
23/02/2020,18:09,,AH,2021,,JQ,,W23A,,,T4
23/02/2020,17:59,,AH,2059,,KG,,W16,,,T4
23/02/2020,18:02,,AH,2071,,KC,,W18,,,T4
23/02/2020,18:06,,AH,4017,,KS,,W17,,,T4
23/02/2020,18:28,,AH,1005,,JB,,W21,,,T4
24/02/2020,19:05,,AH,3017,,JV,,W24B,,,T4
24/02/2020,19:14,,AH,1215,,JA,,W20B,,,T4
24/02/2020,20:23,,AH,1035,,KP,,W15,,,T4
24/02/2020,22:53,,AH,1013,,KR,,W24C,,,T4
24/02/2020,1:10,,AH,2367,,KS,,W25A,,,T4
24/02/2020,5:50,,AH,1002,,JB,,W21B,,,T4
24/02/2020,5:30,,AH,3019,,KP,,W25C,,,T4
24/02/2020,6:50,,AH,2012,,KA,,W19,,,T4
24/02/2020,6:55,,AH,511,,KC,,W24A,,,T4
24/02/2020,7:10,,AH,1036,,JC,,W16,,,T4
24/02/2020,7:10,,AH,3004,,KS,,W25A,,,T4
24/02/2020,7:30,,AH,4038,,KN,,W23C,,,T4
24/02/2020,7:35,,AH,1010,,KR,,W24C,,,T4
24/02/2020,8:30,,DTH,1803,,CB,,W10A,,,T1
24/02/2020,9:30,,TK,653,,HM,,W01,,,T1
24/02/2020,10:25,,DTH,1864,,CD,,W08,,,T1
24/02/2020,11:55,,AT,560,,NP,,W04,,,T1
24/02/2020,12:03,,MS,845,,EM,,W02,,,T1
24/02/2020,12:15,,EK,757,,BM,,W06,,,T1
24/02/2020,13:10,,RT,517,,YT,,W01,,,T1
24/02/2020,13:29,,QR,1379,,GM,,W04,,,T1
24/02/2020,14:50,,TK,651,,JSU,,W02,,,T1
24/02/2020,17:40,,TU,374,,MV,,W01,,,T1
24/02/2020,13:15,,DTH,1801,,CB,,W08,,,T1
24/02/2020,14:35,,DTH,2220,,CT,,W10C,,,T1
24/02/2020,16:30,,AH,6112,,KK,,W08,,,T1
24/02/2020,16:40,,AH,6222,,JK,,W09,,,T1
24/02/2020,17:05,,AH,6006,,KE,,W12,,,T1
24/02/2020,17:25,,DTH,1802,,CF,,W11A,,,T1
24/02/2020,17:30,,AH,6051,,JO,,W10C,,,T1
25/02/2020,19:30,,AH,6251,,JQ,,W11A,,,T1
25/02/2020,22:45,,AH,6146,,KB,,W08,,,T1
25/02/2020,22:35,,AH,6142,,KS,,W09,,,T1
25/02/2020,22:55,,AH,6230,,KG,,W12,,,T1
25/02/2020,5:00,,AH,6012,,JR,,W12,,,T1
25/02/2020,5:42,,AH,6147,,KB,,W10C,,,T1
25/02/2020,6:30,,AH,6212,,KA,,W10A,,,T1
25/02/2020,6:40,,AH,6231,,KG,,W08,,,T1
25/02/2020,6:30,,AH,6116,,JH,,W11A,,,T1
25/02/2020,7:15,,AH,2050,,KB,,W10C,,,T1
24/02/2020,9:30,,AF,1554,,HY,,W15,,,T4
24/02/2020,10:17,,DTH,3018,,CF,,W23,,,T4
24/02/2020,10:25,,ASL,951,,TD,,W16,,,T4
24/02/2020,11:42,,BA,2546,,TU,,W17,,,T4
24/02/2020,12:10,,LH,1316,,DT,,W15,,,T4
24/02/2020,14:08,,AF,1854,,AB,,W14,,,T4
24/02/2020,17:15,,AZ,800,,DD,,W13,,,T4
24/02/2020,17:30,,TO,4800,,UE,,W18,,,T4
25/02/2020,19:08,,VLG,7991,,KDX,,W14,,,T4
25/02/2020,19:20,,AF,1654,,XC,,W15,,,T4
25/02/2020,22:55,,VLG,7474,,MKX,,W16,,,T4
25/02/2020,23:20,,AF,1354,,PG,,W14,,,T4
25/02/2020,0:02,,AZ,802,,DT,,W13,,,T4
25/02/2020,0:40,,LH,1318,,I,,W16,,,T4
25/02/2020,4:40,,AF,1355,,PG,,W14,,,T4
25/02/2020,4:45,,AZ,803,,DI,,W13,,,T4
25/02/2020,7:40,,VLG,7476,,VKX,,W15,,,T4
24/02/2020,8:10,,AH,1044,,JP,,W18,,,T4
24/02/2020,8:35,,AH,1000,,KH,,W17,,,T4
24/02/2020,8:50,,AH,1074,,JK,,W19,,,T4
24/02/2020,9:02,,AH,2062,,KE,,W23A,,,T4
24/02/2020,10:15,,AH,1009,,KO,,W24A,,,T4
24/02/2020,11:22,,AH,2013,,KA,,W24C,,,T4
24/02/2020,11:30,,AH,1231,,KG,,W25A,,,T4
24/02/2020,12:57,,AH,1023,,KC,,W18,,,T4
24/02/2020,13:30,,AH,3005,,KS,,W24A,,,T4
24/02/2020,13:48,,AH,1045,,JP,,W23A,,,T4
24/02/2020,14:35,,AH,4063,,JA,,W20,,,T4
24/02/2020,15:14,,AH,2025,,JR,,W24A,,,T4
24/02/2020,15:24,,AH,1217,,KB,,W24C,,,T4
24/02/2020,15:37,,AH,2005,,KA,,W23C,,,T4
24/02/2020,15:30,,AH,1012,,JX,,W21,,,T4
24/02/2020,16:23,,AH,1001,,KH,,W25A,,,T4
24/02/2020,16:40,,AH,1025,,JU,,W17,,,T4
24/02/2020,16:55,,AH,2047,,KO,,W23A,,,T4
24/02/2020,16:00,,AH,2014,,JM,,W16,,,T4
24/02/2020,18:15,,AH,1005,,JC,,W21,,,T4
24/02/2020,18:15,,AH,1021,,RC,,W23C,,,T4
24/02/2020,18:25,,AH,3017,,KP,,W22,,,T4
24/02/2020,18:30,,AH,1230,,JN,,W19,,,T4
24/02/2020,18:45,,AH,1037,,JL,,W24C,,,T4
25/02/2020,19:25,,AH,5324,,KT,,W22A,,,T4
25/02/2020,20:53,,AH,1215,,JP,,W16,,,T4
25/02/2020,22:48,,AH,1013,,JX,,W25B,,,T4
25/02/2020,3:50,,AH,4015,,KC,,W22A,,,T4
25/02/2020,4:25,,AH,5325,,KT,,W18,,,T4
25/02/2020,5:07,,AH,1002,,KK,,W23C,,,T4
25/02/2020,5:30,,AH,4000,,JQ,,W24A,,,T4
25/02/2020,5:35,,AH,2012,,KS,,W24A,,,T4
25/02/2020,6:25,,AH,4039,,KN,,W17,,,T4
25/02/2020,6:25,,AH,3019,,JP,,W22C,,,T4
25/02/2020,7:35,,AH,4016,,KT,,W18,,,T4
25/02/2020,7:25,,AH,4012,,JX,,W25B,,,T4
25/02/2020,7:35,,AH,1022,,KC,,W22A,,,T4
25/02/2020,7:40,,AH,1074,,JL,,W24C,,,T4
25/02/2020,8:10,,AH,6110,,KP,,W9,,,T1
25/02/2020,8:20,,DTH,1918,,CP,,W10a,,,T1
25/02/2020,8:25,,DTH,1803,,CF,,W11a,,,T1
25/02/2020,9:10,,DTH,1120,,KD,,W12,,,T1
25/02/2020,14:05,,DTH,1919,,CA,,W9,,,T1
25/02/2020,15:15,,DTH,1125,,CF,,W10a,,,T1
25/02/2020,16:00,,AH,6236,,JR,,W9,,,T1
25/02/2020,16:15,,AH,6213,,KA,,W11,,,T1
25/02/2020,17:00,,DTH,2122,,CT,,W10c,,,T1
25/02/2020,17:20,,AH,6006,,JL,,W12,,,T1
25/02/2020,18:15,,AH,6226,,KC,,W10a,,,T1
26/02/2020,19:05,,AH,6150,,JQ,,W9,,,T1
26/02/2020,21:20,,AH,6148,,JN,,W12,,,T1
26/02/2020,0:05,,AH,6237,,JR,,W08,,,T1
26/02/2020,4:45,,AH,6149,,JN,,W10C,,,T1
26/02/2020,2:25,,AH,6151,,JQ,,W10A,,,T1
26/02/2020,6:20,,AH,6225,,JU,,W02,,,T1
26/02/2020,6:10,,AH,6100,,JQ,,W10A,,,T1
26/02/2020,7:55,,AH,6288,,JR,,W08,,,T1
25/02/2020,9:45,,TK,653,,YP,,W02,,,T1
25/02/2020,10:54,,TU,374,,MR,,W01,,,T1
25/02/2020,11:57,,AT,560,,OB,,W04,,,T1
25/02/2020,12:28,,MS,845,,EM,,W02,,,T1
25/02/2020,12:40,,UAE,757,,JQ,,W06,,,T1
25/02/2020,8:00,,TO,4800,,VF,,W16,,,T4
25/02/2020,9:15,,AF,1554,,XP,,W15,,,T4
25/02/2020,12:00,,AF,9454,,HX,,W15,,,T4
25/02/2020,12:35,,BAW,2546,,TU,,W16,,,T4
25/02/2020,13:12,,VLG,1338,,MBS,,W14,,,T4
25/02/2020,13:45,,AF,1854,,XC,,W15,,,T4
25/02/2020,17:35,,AF,1654,,PG,,W16,,,T4
26/02/2020,19:05,,VLG,7991,,KM,,W14,,,T4
26/02/2020,20:02,,JA,3444,,SAO,,W15,,,T4
26/02/2020,23:20,,AF,1354,,PH,,W16,,,T4
26/02/2020,0:46,,LH,1318,,UE,,W17,,,T4
26/02/2020,2:40,,NZ,802,,DH,,W13,,,T4
26/02/2020,4:45,,AV,1355,,PH,,W16,,,T4
26/02/2020,5:50,,AZ,803,,DH,,W13,,,T4
26/02/2020,7:32,,VLG,7396,,MGC,,W14,,,T4
26/02/2020,7:36,,VLG,7476,,MKV,,W15,,,T4
25/02/2020,8:45,,AH,1036,,KM,,W23A,,,T4
25/02/2020,8:45,,AH,1025,,JU,,W18,,,T4
25/02/2020,8:50,,AH,1016,,JK,,W23C,,,T4
25/02/2020,8:55,,AH,1000,,JC,,W21,,,T4
25/02/2020,9:28,,AH,2054,,KQ,,W19,,,T4
25/02/2020,9:05,,AH,2006,,KL,,W24a,,,T4
25/02/2020,10:05,,AH,1004,,JA,,W21,,,T4
25/02/2020,10:22,,AH,1009,,KH,,W17,,,T4
25/02/2020,10:40,,AH,4001,,JQ,,W23a,,,T4
25/02/2020,10:45,,AH,2013,,KS,,W16,,,T4
25/02/2020,11:23,,AH,1000,,JC,,W21,,,T4
25/02/2020,11:30,,AH,2700,,JV,,W25b,,,T4
25/02/2020,12:50,,AH,1023,,KC,,W24a,,,T4
25/02/2020,13:48,,AH,1003,,KK,,W18,,,T4
25/02/2020,14:25,,AH,1037,,KM,,W21a,,,T4
25/02/2020,15:00,,AH,2007,,KL,,W17,,,T4
25/02/2020,15:14,,AH,2025,,JU,,W19,,,T4
25/02/2020,15:28,,AH,1011,,KN,,W22c,,,T4
25/02/2020,15:30,,AH,1217,,JK,,W16,,,T4
25/02/2020,17:25,,AH,4017,,KT,,W23a,,,T4
25/02/2020,17:21,,AH,1001,,JC,,W21,,,T4
25/02/2020,17:38,,AH,2055,,KQ,,W17,,,T4
25/02/2020,18:09,,AH,1005,,JA,,W20,,,T4
26/02/2020,19:15,,AH,3017,,JP,,W25c,,,T4
26/02/2020,19:20,,AH,5010,,KG,,W19,,,T4
26/02/2020,19:10,,AH,2005,,KS,,W24c,,,T4
26/02/2020,20:25,,AH,2015,,JL,,W23c,,,T4
26/02/2020,21:33,,AH,1507,,KK,,W18,,,T4
26/02/2020,22:35,,AH,1013,,KL,,W24a,,,T4
26/02/2020,8:05,,DTH,1120,,CF,,W11A,,,T1
26/02/2020,9:15,,DTH,1805,,CT,,W12,,,T1
26/02/2020,10:25,,DTH,1961,,CA,,W08,,,T1
26/02/2020,15:30,,DTH,2115,,CV,,W09,,,T1
26/02/2020,15:40,,DTH,1123,,CD,,W12,,,T1
26/02/2020,16:35,,AH,6222,,KC,,W11,,,T1
26/02/2020,16:45,,DTH,1919,,CA,,W08,,,T1
26/02/2020,19:25,,DTH,1119,,CF,,W12,,,T1
26/02/2020,17:30,,AH,6010,,KM,,W10C,,,T1
26/02/2020,17:38,,AH,6026,,KN,,W10A,,,T1
26/02/2020,18:43,,AH,6234,,KT,,W11A,,,T1
27/02/2020,19:35,,AH,2106,,KS,,W09,,,T1
27/02/2020,21:45,,AH,6272,,JM,,W12,,,T1
27/02/2020,22:05,,AH,6103,,JQ,,W10A,,,T1
27/02/2020,5:00,,AH,2146,,JR,,W10C,,,T1
27/02/2020,5:00,,AH,6024,,JK,,W09,,,T1
27/02/2020,6:20,,AH,6294,,JQ,,W10A,,,T1
27/02/2020,6:25,,AH,6116,,JL,,W08,,,T1
27/02/2020,7:05,,AH,6292,,JM,,W11,,,T1
26/02/2020,9:55,,TK,653,,JVH,,W02,,,T1
26/02/2020,12:05,,RAN,560,,OJ,,W04,,,T1
26/02/2020,12:25,,MS,845,,JEL,,W02,,,T1
26/02/2020,12:45,,BJ,130,,NO,,W01,,,T1
26/02/2020,12:50,,EK,757,,GS,,W06B,,,T1
26/02/2020,13:40,,QTR,1379,,CF,,W04B,,,T1
26/02/2020,14:58,,TVN,338,,MW,,W02,,,T1
26/02/2020,15:25,,TK,651,,JIP,,W03B,,,T1
27/02/2020,1:27,,TK,655,,JSA,,W02,,,T1
27/02/2020,5:35,,SV,3359,,CN,,W06B,,,T1
26/02/2020,11:42,,LH,1316,,CK,,W16,,,T4
26/02/2020,12:00,,BAW,2546,,TU,,W14,,,T4
26/02/2020,13:35,,AF,1854,,XP,,W15,,,T4
26/02/2020,15:02,,VLG,6338,,MJB,,W14,,,T4
26/02/2020,17:10,,AZ,800,,CD,,W13,,,T4
26/02/2020,17:32,,AF,1654,,PH,,W15,,,T4
27/02/2020,20:25,,VLG,7991,,BE,,W14,,,T4
27/02/2020,23:09,,AF,1354,,BF,,W15,,,T4
27/02/2020,0:28,,AZ,802,,DI,,W13,,,T4
27/02/2020,4:38,,AF,1355,,PF,,W15,,,T4
27/02/2020,4:45,,AZ,803,,DJ,,W13,,,T4
27/02/2020,7:30,,VLG,7396,,CU,,W14,,,T4
26/02/2020,8:10,,AH,2028,,KS,,W24C,,,T4
26/02/2020,8:15,,AH,3016,,JK,,W23C,,,T4
26/02/2020,8:20,,AH,1010,,KJ,,W19,,,T4
26/02/2020,8:20,,AH,1036,,JX,,W21,,,T4
26/02/2020,8:35,,AH,2070,,KA,,W22C,,,T4
26/02/2020,8:40,,AH,2026,,KC,,W25,,,T4
26/02/2020,8:45,,AH,1000,,KL,,W24A,,,T4
26/02/2020,8:55,,AH,1216,,JL,,W18,,,T4
26/02/2020,9:05,,AH,2062,,KQ,,W22A,,,T4
26/02/2020,9:35,,AH,1009,,KN,,W17,,,T4
26/02/2020,10:20,,AH,1004,,JC,,W21,,,T4
26/02/2020,11:10,,AH,1214,,KK,,W18,,,T4
26/02/2020,11:25,,AH,2004,,JU,,W19,,,T4
26/02/2020,12:45,,AH,1023,,KT,,W22,,,T4
26/02/2020,13:15,,AH,1003,,JP,,W22C,,,T4
26/02/2020,12:30,,AH,1231,,KH,,W23A,,,T4
26/02/2020,15:20,,AH,1034,,JR,,W19,,,T4
26/02/2020,14:50,,AH,4031,,JU,,W20,,,T4
26/02/2020,15:00,,AH,4063,,JA,,W21B,,,T4
26/02/2020,15:00,,AH,1011,,KJ,,W25C,,,T4
26/02/2020,15:08,,AH,1217,,JL,,W24C,,,T4
26/02/2020,15:15,,AH,2005,,JU,,W24A,,,T4
26/02/2020,15:50,,AH,2014,,JM,,W23C,,,T4
26/02/2020,16:23,,AH,2063,,KQ,,W22A,,,T4
26/02/2020,17:50,,AH,4039,,KG,,W25A,,,T4
26/02/2020,18:00,,AH,4014,,KJ,,W25C,,,T4
26/02/2020,18:20,,AH,1005,,JC,,W20,,,T4
26/02/2020,18:27,,AH,3017,,JK,,W22C,,,T4
26/02/2020,19:30,,AH,5318,,JN,,W17,,,T4
27/02/2020,19:40,,AH,1215,,KK,,W24A,,,T4
27/02/2020,20:10,,AH,4003,,JU,,W18,,,T4
27/02/2020,2:38,,AH,5323,,KQ,,W17,,,T4
27/02/2020,5:10,,AH,4000,,JO,,W16,,,T4
27/02/2020,5:15,,AH,1002,,KQ,,W17,,,T4
27/02/2020,5:20,,AH,2012,,JU,,W18,,,T4
27/02/2020,6:17,,AH,5319,,JN,,W22C,,,T4
27/02/2020,7:30,,AH,1036,,JN,,W22C,,,T4
27/02/2020,7:47,,AH,3016,,KB,,W19,,,T4
27/02/2020,8:25,,DTH,1850,,CE,,W08,,,T1
27/02/2020,8:40,,DTH,1909,,CA,,W09,,,T1
27/02/2020,10:05,,DTH,2111,,CD,,W11A,,,T1
27/02/2020,10:20,,AH,6102,,JW,,W10B,,,T1
27/02/2020,11:25,,AH,6147,,JA,,W12,,,T1
27/02/2020,13:30,,DTH,1840,,CB,,W09,,,T1
27/02/2020,13:50,,AH,6052,,JA,,W12,,,T1
27/02/2020,14:45,,AH,1321,,CF,,W08,,,T1
27/02/2020,16:20,,AH,6284,,JQ,,W09,,,T1
27/02/2020,17:10,,AH,6053,,JR,,W12,,,T1
27/02/2020,17:20,,DTH,1802,,CD,,W11A,,,T1
28/02/2020,19:48,,AH,6106,,KJ,,W09,,,T1
28/02/2020,21:28,,AH,6001,,JA,,W08,,,T1
28/02/2020,22:00,,AH,6310,,KB,,W10A,,,T1
28/02/2020,22:13,,AH,6142,,KC,,W11A,,,T1
28/02/2020,23:02,,AH,6230,,JN,,W10C,,,T1
28/02/2020,6:10,,AH,2334,,KN,,W12,,,T1
27/02/2020,10:00,,TK,653,,JVC,,W02,,,T1
27/02/2020,12:00,,AT,560,,OR,,W04,,,T1
27/02/2020,12:25,,MS,845,,JEK,,W01,,,T1
27/02/2020,12:35,,IK,757,,EGN,,W06B,,,T1
27/02/2020,14:00,,QR,1379,,CZ,,W04,,,T1
27/02/2020,14:13,,RJ,517,,AYS,,W02,,,T1
27/02/2020,15:00,,TU,374,,MW,,W01,,,T1
27/02/2020,15:55,,TK,651,,LOA,,W03B,,,T1
28/02/2020,1:30,,TK,655,,JRD,,W01,,,T1
27/02/2020,17:15,,TU,610,,MO,,W02,,,T1
27/02/2020,8:09,,TO,4680,,VA,,W14,,,T4
27/02/2020,8:49,,VLG,7476,,MKV,,W15,,,T4
27/02/2020,9:10,,AF,1554,,XJ,,W14,,,T4
27/02/2020,8:45,,DTH,3018,,CT,,W27A,,,T4
27/02/2020,10:59,,AF,9454,,HI,,W15,,,T4
27/02/2020,12:02,,LH,1316,,PP,,W14,,,T4
27/02/2020,12:25,,BA,2546,,TE,,W16,,,T4
27/02/2020,13:00,,VLG,7338,,MKO,,W15,,,T4
27/02/2020,13:44,,AF,1854,,HV,,W17,,,T4
27/02/2020,17:17,,AZ,800,,DE,,W13,,,T4
27/02/2020,17:25,,AF,1653,,XT,,W14,,,T4
28/02/2020,19:10,,JAF,2401,,CAO,,W16,,,T4
28/02/2020,19:12,,VLG,7991,,LOC,,W15,,,T4
28/02/2020,21:40,,TO,4800,,VG,,W17,,,T4
28/02/2020,23:36,,AF,1354,,PG,,W15,,,T4
28/02/2020,0:25,,AZ,802,,NB,,W13,,,T4
28/02/2020,4:45,,AZ,803,,NB,,W13,,,T4
28/02/2020,4:50,,AF,1355,,PG,,W15,,,T4
28/02/2020,7:30,,VLG,7396,,KCE,,W14,,,T4
27/02/2020,8:42,,AH,1044,,KS,,W18,,,T4
27/02/2020,9:03,,AH,1000,,JX,,W21,,,T4
27/02/2020,8:55,,AH,1074,,JK,,W25,,,T4
27/02/2020,9:00,,AH,2006,,KC,,W24C,,,T4
27/02/2020,8:53,,AH,1010,,KI,,W17,,,T4
27/02/2020,10:03,,AH,1009,,KH,,W23A,,,T4
27/02/2020,10:05,,AH,1004,,JC,,W20B,,,T4
27/02/2020,9:40,,AH,2024,,KA,,W23C,,,T4
27/02/2020,10:34,,AH,2013,,JU,,W17,,,T4
27/02/2020,8:40,,AH,1025,,KL,,W24A,,,T4
27/02/2020,11:30,,AH,2700,,JV,,W21B,,,T4
